Sampling frequency: 100Hz 
timestamp pitch roll yaw 
1592732699771 0.5767699228385084 -0.059095890029004484 -1.6097790215825174 
1592732699784 0.5719948209171224 -0.06162526925365488 -1.608474431862557 
1592732699792 0.5706825011615788 -0.06175114756264734 -1.6084256441706766 
1592732699802 0.5673657090281168 -0.06084638442714406 -1.6092203664300773 
1592732699812 0.565361323574767 -0.059822049316923004 -1.610224596876979 
1592732699822 0.5630879659391702 -0.0585669588863311 -1.6114481384895545 
1592732699831 0.561750072834144 -0.0578089690755138 -1.6120898803632377 
1592732699841 0.5584984897655588 -0.056010174018838815 -1.6133045807228565 
1592732699852 0.5516243769686089 -0.05224509247085974 -1.6148273077657906 
1592732699862 0.5451577399036615 -0.04897727038153551 -1.615670439191339 
1592732699872 0.5370208661433851 -0.0457864925656343 -1.6164516933693016 
1592732699882 0.5279837025531184 -0.04388762440083061 -1.6170410522443441 
1592732699892 0.5195928397294488 -0.04348547219090047 -1.6174005805552187 
1592732699902 0.513299590844176 -0.044241288667943905 -1.617740136379451 
1592732699912 0.5099213183466843 -0.04583958489226077 -1.61833623333191 
1592732699922 0.5095480571013928 -0.047740680704003745 -1.6192424691846643 
1592732699932 0.5102600712987899 -0.04864768467486246 -1.6197756701305126 
1592732699942 0.5141328867320804 -0.050462469225904374 -1.6214219239665966 
1592732699952 0.5166529028712524 -0.05067912048228487 -1.6221259377426178 
1592732699962 0.5181639626781862 -0.050470506216843986 -1.6223338874228 
1592732699972 0.5185382085168403 -0.05022410179877707 -1.6221122773592578 
1592732699982 0.5184130523565399 -0.05006506849497962 -1.6219050166938702 
1592732699992 0.5177823780643034 -0.04952597389680641 -1.621522136266535 
1592732700002 0.5169030970857063 -0.04862416531523399 -1.6213967151033302 
1592732700012 0.5154263846131383 -0.04672427748261535 -1.6218672655351323 
1592732700022 0.5143289560135175 -0.045378367812434726 -1.6224958330931945 
1592732700032 0.5131196494242959 -0.04431531767072292 -1.6232904739840888 
1592732700042 0.5119790783471853 -0.043679225675305466 -1.6241828296620333 
1592732700052 0.5115257711727238 -0.043516535111254674 -1.6246401596333013 
1592732700062 0.5107953347226897 -0.0438870233096818 -1.6259981270670758 
1592732700072 0.5109125846208996 -0.04478052588166745 -1.6268207962708388 
1592732700082 0.5114670657808084 -0.0459046428925581 -1.6275138960365256 
1592732700092 0.5122809934652512 -0.04672742747998257 -1.628041520191893 
1592732700102 0.5130464372715657 -0.04681618266231235 -1.6285346295264391 
1592732700112 0.5133034155061589 -0.04662622961828169 -1.6287670156819811 
1592732700122 0.5133993566840352 -0.04584392017596787 -1.6292133660853902 
1592732700132 0.5125125959761132 -0.044226749858270575 -1.6297667087126397 
1592732700142 0.5115745816072494 -0.043556750550438596 -1.6300689707525988 
1592732700152 0.5107134495498189 -0.043507496835920347 -1.6303764423612463 
1592732700161 0.5103856119622242 -0.04368164021800243 -1.6305250603179853 
1592732700172 0.5099134556383125 -0.044590474831825815 -1.6309035468956714 
1592732700182 0.5097180207913752 -0.04528244904112805 -1.6309771689984132 
1592732700191 0.5095831220064103 -0.04561092182668559 -1.6309468683155885 
1592732700202 0.5089423593104154 -0.04632532590428548 -1.6306216215919251 
1592732700211 0.5086678243784701 -0.04650632348525319 -1.6304336815853664 
1592732700222 0.5078489713322606 -0.04691692838116209 -1.6297988568789854 
