Sampling frequency: 100Hz 
timestamp pitch roll yaw 
1592726092039 0.45181747458478627 -0.13322924836822295 -1.8393483633932917 
1592726092048 0.44997012464516556 -0.1307180155157742 -1.8382503318124186 
1592726092059 0.44847548265102 -0.12909516049836345 -1.837297111731943 
1592726092069 0.4473760161320002 -0.12819997251726906 -1.8364826499270932 
1592726092079 0.4465761175952762 -0.1276141600015177 -1.8357093535203048 
1592726092089 0.445867517272511 -0.12686630946056893 -1.8348832314327737 
1592726092098 0.4451860193623814 -0.12569969006723322 -1.8340242346962827 
1592726092109 0.4445232181258351 -0.12424856129398508 -1.8331486640370844 
1592726092119 0.4438074045546815 -0.12283148512195685 -1.832243562504886 
1592726092129 0.44298100634909127 -0.12169208022744446 -1.831358717301237 
1592726092139 0.4419758486112539 -0.12073400133461792 -1.8305435443537736 
1592726092148 0.4408015664444157 -0.11986674565113474 -1.829779096785806 
1592726092159 0.43946319215474644 -0.11900440504496967 -1.8289888041805757 
1592726092169 0.43800447914062257 -0.11807039693741318 -1.8280821739487854 
1592726092178 0.4364783287850546 -0.11686696582376203 -1.827035456131499 
1592726092189 0.4348788151212146 -0.11541919384204895 -1.8258715085467678 
1592726092198 0.43313636888019297 -0.11382534163954346 -1.8245842111407649 
1592726092209 0.43123858332707327 -0.11212874045960376 -1.8231710990667243 
1592726092219 0.4292477491683335 -0.11021049220049565 -1.8217023392192457 
1592726092229 0.4271840009597469 -0.10794407040052445 -1.8201857947222255 
1592726092239 0.4250461305696284 -0.10527270662640165 -1.818619088197495 
1592726092248 0.4228459667499854 -0.10217302672179157 -1.8170092752853855 
1592726092259 0.4205226672318931 -0.09868598485532105 -1.815293065579694 
1592726092269 0.41807590806944184 -0.09495642923530433 -1.8134187521433105 
1592726092279 0.41545891047250455 -0.09118688546675681 -1.8113389800786228 
1592726092289 0.4126959815062186 -0.08748710273714654 -1.8090732334595445 
1592726092298 0.4099056780236301 -0.08401068298784997 -1.806724592820743 
