Sampling frequency: 100Hz 
timestamp pitch roll yaw 
1592998718438 0.5679569485440306 -0.04878111224511959 -1.1894182410054703 
1592998718448 0.5659122945060809 -0.05155975972943861 -1.1916890866486132 
1592998718459 0.5641200882340519 -0.054391388759930936 -1.1937736380478858 
1592998718468 0.5627631184888123 -0.057002008797847094 -1.1957731146696096 
1592998718477 0.5617730869068516 -0.05923964970754397 -1.1977554304296811 
1592998718488 0.5608075781741537 -0.0610647632956673 -1.1998205784621179 
1592998718498 0.5594832843884185 -0.06245028722999217 -1.2019742947456633 
1592998718507 0.5575767325761356 -0.0634687045063126 -1.2041146448832032 
1592998718518 0.5551280091644232 -0.06438207582409348 -1.2061101671979626 
1592998718528 0.5524360461073539 -0.06545132845896627 -1.2078689453457592 
1592998718538 0.54993832787085 -0.06685392561571063 -1.209338640238747 
1592998718548 0.5479947206556544 -0.06847661697432876 -1.21055834400949 
1592998718557 0.5467837794064254 -0.07020409872565556 -1.211613231876908 
1592998718568 0.5463000882474814 -0.07183803443326758 -1.212557762297603 
1592998718578 0.5463163204821602 -0.0731423216575832 -1.213406673189088 
1592998718588 0.54637635771386 -0.0740296966184288 -1.214272664396295 
1592998718598 0.5461228160189682 -0.07452567918190676 -1.2150863242808114 
1592998718607 0.5453643611605423 -0.07470296316334296 -1.2156966071739643 
1592998718621 0.5423711739965844 -0.07511944709545956 -1.2162792275508707 
1592998718630 0.5403953372377932 -0.07548673123485822 -1.2164619150851739 
1592998718642 0.5383552883101611 -0.07578173886700597 -1.2166928558070231 
1592998718648 0.5383552883101611 -0.07578173886700597 -1.2166928558070231 
1592998718657 0.5364389077681186 -0.07590298209067321 -1.2169377264921486 
1592998718668 0.5347658360175128 -0.07578727069975559 -1.2172051269808601 
1592998718678 0.5332504722987427 -0.07562786706925242 -1.2175490482166609 
1592998718693 0.5301681166705272 -0.07591627725647834 -1.2186754305772032 
1592998718699 0.5301681166705272 -0.07591627725647834 -1.2186754305772032 
1592998718708 0.5285668175892055 -0.075880417014842 -1.2194105235211712 
1592998718718 0.5270596261568403 -0.07563031032845534 -1.220153014601833 
1592998718728 0.5257225718657084 -0.07544267732267508 -1.220790949047275 
1592998718738 0.524525990929242 -0.07545123290765136 -1.2213554327992515 
1592998718748 0.5233530792554703 -0.07573098056948904 -1.22191152195721 
