Sampling frequency: 100Hz 
timestamp pitch roll yaw 
1593000454400 0.7146513406639313 -0.03072195081669295 -1.2559815295118475 
1593000454410 0.7136711112379537 -0.03201133889679869 -1.256061399005876 
1593000454420 0.7130297487323413 -0.0328993063463549 -1.256164651103491 
1593000454432 0.7125580425731863 -0.03402146776990399 -1.2563646914864446 
1593000454439 0.7124163727555138 -0.034318719562016355 -1.256473937405945 
1593000454449 0.7121533455702042 -0.03470361808423228 -1.256751686660473 
1593000454459 0.7118357116246915 -0.03500425441995869 -1.2571000864024424 
1593000454469 0.7114670511609096 -0.035463682218092346 -1.2575684181802083 
1593000454481 0.7111143765386325 -0.03627437505063516 -1.2586483225537952 
1593000454489 0.711050964573884 -0.0364747379564884 -1.2590890048234906 
1593000454499 0.710832061145984 -0.03682132255597359 -1.2598728497295661 
1593000454510 0.7104302035849737 -0.037215151970723344 -1.26020475360129 
1593000454519 0.7098722354069199 -0.037790623574921814 -1.2599456501502453 
1593000454531 0.7092903418801192 -0.03869826668683486 -1.2593021203577859 
1593000454539 0.7088821809349175 -0.03966545130003064 -1.2586222105104568 
1593000454549 0.7087465034076018 -0.040490197806498464 -1.2580380804772293 
1593000454559 0.7088179966799035 -0.04117234314749647 -1.2575655223882292 
1593000454569 0.7089132295007251 -0.041720519655782135 -1.2572712525236505 
1593000454581 0.7089189605333636 -0.042067308066968234 -1.2571497010403148 
1593000454589 0.7087802706030335 -0.04221226945431744 -1.257153928753704 
1593000454599 0.708407033593284 -0.04237083581457535 -1.2571977690918328 
1593000454609 0.707863717686338 -0.04261739634653379 -1.2571962994308026 
1593000454619 0.7073436870607921 -0.04293993535596501 -1.2571290798052426 
1593000454630 0.706920850556087 -0.04332925107307632 -1.257100167665139 
1593000454639 0.7065627601881987 -0.04375277271530987 -1.2572205457174381 
1593000454648 0.7062753437155702 -0.04406923679980698 -1.2574901850692173 
1593000454659 0.705948962366066 -0.044206997916643814 -1.2578282757482953 
1593000454669 0.7055434295699241 -0.04432007608552793 -1.2580775453503308 
1593000454683 0.7048036581371999 -0.04458269270063445 -1.2581793382628101 
1593000454689 0.7045170360474076 -0.044694759750440634 -1.2581444080149164 
1593000454699 0.703889933293234 -0.04501703432800988 -1.2579710203337569 
1593000454709 0.7032134004997376 -0.045529343422365635 -1.2576748747812945 
